"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-01,127,monthly,586125,2019-01-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-01,78,monthly,456307,2019-01-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-01,111,monthly,448083,2019-01-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-01,70,monthly,496906,2019-01-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-01,163,monthly,407971,2019-01-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-02,127,monthly,599618,2019-02-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-02,63,monthly,456846,2019-02-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-02,119,monthly,447622,2019-02-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-02,81,monthly,491308,2019-02-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-02,179,monthly,397471,2019-02-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-03,146,monthly,593437,2019-03-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-03,92,monthly,458847,2019-03-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-03,139,monthly,451617,2019-03-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-03,104,monthly,482473,2019-03-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-03,163,monthly,392805,2019-03-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-04,146,monthly,578732,2019-04-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-04,96,monthly,453101,2019-04-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-04,144,monthly,441385,2019-04-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-04,103,monthly,475541,2019-04-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-04,158,monthly,397404,2019-04-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-05,182,monthly,575423,2019-05-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-05,97,monthly,447445,2019-05-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-05,122,monthly,437071,2019-05-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-05,87,monthly,467551,2019-05-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-05,206,monthly,401253,2019-05-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-06,171,monthly,577319,2019-06-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-06,81,monthly,447152,2019-06-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-06,151,monthly,437482,2019-06-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-06,92,monthly,470917,2019-06-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-06,179,monthly,403928,2019-06-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-07,229,monthly,581746,2019-07-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-07,117,monthly,448219,2019-07-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-07,145,monthly,444521,2019-07-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-07,111,monthly,473589,2019-07-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-07,222,monthly,404146,2019-07-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-08,247,monthly,583472,2019-08-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-08,128,monthly,454200,2019-08-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-08,186,monthly,447345,2019-08-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-08,129,monthly,478467,2019-08-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-08,248,monthly,409401,2019-08-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-09,181,monthly,594426,2019-09-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-09,80,monthly,452637,2019-09-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-09,161,monthly,450686,2019-09-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-09,96,monthly,473599,2019-09-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-09,176,monthly,407313,2019-09-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-10,197,monthly,596453,2019-10-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-10,85,monthly,444060,2019-10-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-10,165,monthly,444098,2019-10-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-10,125,monthly,470746,2019-10-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-10,233,monthly,410884,2019-10-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-11,187,monthly,596987,2019-11-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-11,89,monthly,443378,2019-11-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-11,184,monthly,446246,2019-11-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-11,132,monthly,471168,2019-11-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-11,236,monthly,408681,2019-11-01
Elmbridge,http://landregistry.data.gov.uk/id/region/elmbridge,E07000207,2019-12,158,monthly,590034,2019-12-01
Epsom and Ewell,http://landregistry.data.gov.uk/id/region/epsom-and-ewell,E07000208,2019-12,82,monthly,452256,2019-12-01
Guildford,http://landregistry.data.gov.uk/id/region/guildford,E07000209,2019-12,144,monthly,445400,2019-12-01
Mole Valley,http://landregistry.data.gov.uk/id/region/mole-valley,E07000210,2019-12,116,monthly,470901,2019-12-01
Reigate and Banstead,http://landregistry.data.gov.uk/id/region/reigate-and-banstead,E07000211,2019-12,216,monthly,408943,2019-12-01
