URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
114623,West Sussex,938,6019,9386019,Cumnor House School,London Road,Danehill,,Haywards Heath,RH17 7HT,Open,,,Independent school,Other independent school,1,1,0,2,14,Mixed,None,Non-selective
125816,West Sussex,938,2000,9382000,Aldingbourne Primary School,Westergate Street,Westergate,,Chichester,PO20 3QR,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125819,West Sussex,938,2009,9382009,Bosham Primary School,Walton Lane,Bosham,,Chichester,PO18 8QF,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125820,West Sussex,938,2010,9382010,Shelley Primary School,Wickhurst Lane,Broadbridge Heath,,Horsham,RH12 3LU,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125821,West Sussex,938,2011,9382011,Camelsdale Primary School,School Road,Camelsdale,,Haslemere,GU27 3RN,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125822,West Sussex,938,2012,9382012,Lancastrian Infant School,Orchard Gardens,,,Chichester,PO19 1DG,Closed,,30-11-2020,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable
125825,West Sussex,938,2015,9382015,Colgate Primary School,Blackhouse Road,Colgate,,Horsham,RH13 6HS,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125826,West Sussex,938,2018,9382018,West Green Primary School,West Green Drive,,,Crawley,RH11 7EL,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125829,West Sussex,938,2025,9382025,East Wittering Community Primary School,Stocks Lane,East Wittering,,Chichester,PO20 8NH,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
125830,West Sussex,938,2028,9382028,Funtington Primary School,Heather Close,West Ashling,,Chichester,PO18 8DR,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125832,West Sussex,938,2030,9382030,Hollycombe Primary School,Wardley Green,Milland,,Liphook,GU30 7LY,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125835,West Sussex,938,2035,9382035,Trafalgar Community Infant School,Victory Road,,,Horsham,RH12 2JF,Open,,,Maintained school,Community school,1,0,0,5,7,Mixed,Does not apply,Not applicable
125836,West Sussex,938,2036,9382036,"Northolmes Junior School, Horsham",Leith View Road,,,Horsham,RH12 4ET,Open,,,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Not applicable
125837,West Sussex,938,2037,9382037,Littlehaven Infant School,Hawkesbourne Road,,,Horsham,RH12 4EH,Open,,,Maintained school,Community school,1,0,0,5,7,Mixed,Does not apply,Not applicable
125838,West Sussex,938,2038,9382038,Barns Green Primary School,The Hordens,,Barns Green,Horsham,RH13 0PJ,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125841,West Sussex,938,2042,9382042,North Lancing Primary School,Mill Road,Adur,,Lancing,BN15 0PT,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125845,West Sussex,938,2046,9382046,Loxwood Primary School,Nicholsfield,Loxwood,,Billingshurst,RH14 0SR,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125846,West Sussex,938,2048,9382048,Northchapel Community Primary School,Pipers Lane,Northchapel,,Petworth,GU28 9JA,Open,,,Maintained school,Community school,1,0,0,2,11,Mixed,Does not apply,Not applicable
125847,West Sussex,938,2049,9382049,North Mundham Primary School,School Lane,North Mundham,,Chichester,PO20 1LA,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125848,West Sussex,938,2050,9382050,Plaistow and Kirdford Primary School,Plaistow,,,Billingshurst,RH14 0PX,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125849,West Sussex,938,2051,9382051,Rudgwick Primary School,Tates Way,Rudgwick,,Horsham,RH12 3HW,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
125850,West Sussex,938,2052,9382052,Rusper Primary School,Rusper,,,Horsham,RH12 4PR,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125853,West Sussex,938,2058,9382058,Sidlesham Primary School,Keynor Lane,Sidlesham,,Chichester,PO20 7NL,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125854,West Sussex,938,2066,9382066,Stedham Primary School,School Lane,Stedham,,Midhurst,GU29 0NY,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125856,West Sussex,938,2069,9382069,Thakeham Primary School,Rock Road,Storrington,,Pulborough,RH20 3AA,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125857,West Sussex,938,2070,9382070,Upper Beeding Primary School,School Road,Upper Beeding,,Steyning,BN44 3HY,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
125858,West Sussex,938,2071,9382071,Westbourne Primary School,River Street,Westbourne,,Emsworth,PO10 8TG,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
