"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-01,95,monthly,410660,2019-01-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-01,101,monthly,368627,2019-01-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-01,91,monthly,394561,2019-01-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-01,89,monthly,452550,2019-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-01,137,monthly,452024,2019-01-01
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-02,72,monthly,414378,2019-02-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-02,82,monthly,368876,2019-02-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-02,92,monthly,391768,2019-02-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-02,91,monthly,442030,2019-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-02,113,monthly,453079,2019-02-01
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-03,87,monthly,420565,2019-03-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-03,111,monthly,366785,2019-03-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-03,135,monthly,384575,2019-03-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-03,111,monthly,437182,2019-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-03,126,monthly,448819,2019-03-01
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-04,96,monthly,412412,2019-04-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-04,95,monthly,363384,2019-04-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-04,97,monthly,387729,2019-04-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-04,88,monthly,439391,2019-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-04,133,monthly,439617,2019-04-01
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-05,134,monthly,406282,2019-05-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-05,109,monthly,356179,2019-05-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-05,97,monthly,388141,2019-05-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-05,81,monthly,433332,2019-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-05,140,monthly,437533,2019-05-01
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-06,84,monthly,407039,2019-06-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-06,100,monthly,358110,2019-06-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-06,117,monthly,392532,2019-06-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-06,115,monthly,439616,2019-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-06,150,monthly,448610,2019-06-01
Runnymede,http://landregistry.data.gov.uk/id/region/runnymede,E07000212,2019-07,80,monthly,407730,2019-07-01
Spelthorne,http://landregistry.data.gov.uk/id/region/spelthorne,E07000213,2019-07,110,monthly,362837,2019-07-01
Surrey Heath,http://landregistry.data.gov.uk/id/region/surrey-heath,E07000214,2019-07,105,monthly,391510,2019-07-01
Tandridge,http://landregistry.data.gov.uk/id/region/tandridge,E07000215,2019-07,125,monthly,441057,2019-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2019-07,160,monthly,450889,2019-07-01
