"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Adur,http://landregistry.data.gov.uk/id/region/adur,E07000223,2019-01,59,monthly,315376,2019-01-01
Arun,http://landregistry.data.gov.uk/id/region/arun,E07000224,2019-01,186,monthly,281179,2019-01-01
Chichester,http://landregistry.data.gov.uk/id/region/chichester,E07000225,2019-01,120,monthly,383367,2019-01-01
Horsham,http://landregistry.data.gov.uk/id/region/horsham,E07000227,2019-01,183,monthly,380028,2019-01-01
Mid Sussex,http://landregistry.data.gov.uk/id/region/mid-sussex,E07000228,2019-01,182,monthly,372392,2019-01-01
Adur,http://landregistry.data.gov.uk/id/region/adur,E07000223,2019-02,83,monthly,307613,2019-02-01
Arun,http://landregistry.data.gov.uk/id/region/arun,E07000224,2019-02,241,monthly,280147,2019-02-01
Chichester,http://landregistry.data.gov.uk/id/region/chichester,E07000225,2019-02,117,monthly,374170,2019-02-01
Horsham,http://landregistry.data.gov.uk/id/region/horsham,E07000227,2019-02,225,monthly,374285,2019-02-01
Mid Sussex,http://landregistry.data.gov.uk/id/region/mid-sussex,E07000228,2019-02,164,monthly,372319,2019-02-01
Adur,http://landregistry.data.gov.uk/id/region/adur,E07000223,2019-03,82,monthly,306623,2019-03-01
Arun,http://landregistry.data.gov.uk/id/region/arun,E07000224,2019-03,238,monthly,280240,2019-03-01
Chichester,http://landregistry.data.gov.uk/id/region/chichester,E07000225,2019-03,136,monthly,367783,2019-03-01
Horsham,http://landregistry.data.gov.uk/id/region/horsham,E07000227,2019-03,213,monthly,369539,2019-03-01
Mid Sussex,http://landregistry.data.gov.uk/id/region/mid-sussex,E07000228,2019-03,175,monthly,368284,2019-03-01
Adur,http://landregistry.data.gov.uk/id/region/adur,E07000223,2019-04,74,monthly,305884,2019-04-01
Arun,http://landregistry.data.gov.uk/id/region/arun,E07000224,2019-04,197,monthly,281392,2019-04-01
Chichester,http://landregistry.data.gov.uk/id/region/chichester,E07000225,2019-04,141,monthly,368309,2019-04-01
Horsham,http://landregistry.data.gov.uk/id/region/horsham,E07000227,2019-04,178,monthly,363101,2019-04-01
Mid Sussex,http://landregistry.data.gov.uk/id/region/mid-sussex,E07000228,2019-04,200,monthly,366057,2019-04-01
Adur,http://landregistry.data.gov.uk/id/region/adur,E07000223,2019-05,72,monthly,312640,2019-05-01
Arun,http://landregistry.data.gov.uk/id/region/arun,E07000224,2019-05,232,monthly,283378,2019-05-01
Chichester,http://landregistry.data.gov.uk/id/region/chichester,E07000225,2019-05,140,monthly,374033,2019-05-01
