"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-01,94,monthly,278620,2019-01-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-01,144,monthly,275004,2019-01-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-02,110,monthly,277691,2019-02-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-02,134,monthly,276576,2019-02-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-03,102,monthly,279722,2019-03-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-03,143,monthly,280936,2019-03-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-04,111,monthly,279854,2019-04-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-04,181,monthly,280387,2019-04-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-05,121,monthly,281163,2019-05-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-05,158,monthly,280399,2019-05-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-06,142,monthly,281900,2019-06-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-06,151,monthly,277883,2019-06-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-07,133,monthly,282668,2019-07-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-07,212,monthly,279129,2019-07-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-08,117,monthly,280314,2019-08-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-08,211,monthly,277417,2019-08-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-09,120,monthly,277851,2019-09-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-09,187,monthly,278605,2019-09-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-10,125,monthly,277301,2019-10-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-10,224,monthly,280356,2019-10-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-11,143,monthly,278916,2019-11-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-11,220,monthly,282369,2019-11-01
Crawley,http://landregistry.data.gov.uk/id/region/crawley,E07000226,2019-12,136,monthly,283519,2019-12-01
Worthing,http://landregistry.data.gov.uk/id/region/worthing,E07000229,2019-12,239,monthly,279468,2019-12-01
